stories_id,description,facebook_reactions,facebook_shares,media_id,publish_date,title,url,tag
1040485042,"Patricia Pillar, Leticia Sabatella e Leticia Colin foram algumas das atrizes que procuraram conversar com eleitores em praças pelo Rio de Janeiro",193528,17100,59723,26/10/2018,"Na reta final, famosos vão para as ruas &#8216;virar votos&#8217; para Haddad",https://veja.abril.com.br/entretenimento/na-reta-final-famosos-vao-para-as-ruas-virar-votos-para-haddad/,Positivo
1041073629,,5152,205,59723,27/10/2018,Bolsonaro pede cassação de registro de Haddad por turnê de Roger Waters,https://veja.abril.com.br/politica/bolsonaro-pede-cassacao-de-registro-de-haddad-por-turne-de-roger-waters/,Neutro
1040829556,,0,0,41736,27/10/2018,As fake news foram decisivas nestas eleições? SIM,https://redir.folha.com.br/redir/online/opiniao/rss091/*https://www1.folha.uol.com.br/opiniao/2018/10/as-fake-news-foram-decisivas-nestas-eleicoes-sim.shtml,Negativo
1037631619,O Brasil corre o risco de dar certo caso o vencedor do pleito deste domingo tenha “um pouco de humildade e inteligência para conservar a equipe,761,31,38945,24/10/2018,"Próximo presidente deveria manter equipe de Temer, diz Delfim",https://cultura.estadao.com.br/blogs/direto-da-fonte/proximo-presidente-deveria-manter-equipe-de-temer-diz-delfim/,Neutro
